线路	IP	平均延迟	丢包率	速度
电信	45.131.4.51	156.13ms	0.00%	22.74MB/s
电信	31.22.116.102	155.73ms	0.00%	22.56MB/s
电信	185.193.30.138	156.12ms	0.00%	22.48MB/s
电信	45.133.247.73	156.35ms	0.00%	22.48MB/s
电信	167.68.11.87	156.32ms	0.00%	22.24MB/s
电信	185.221.160.123	154.70ms	0.00%	22.22MB/s
电信	194.36.55.80	156.25ms	0.00%	22.16MB/s
电信	45.142.120.59	156.09ms	0.00%	22.09MB/s
电信	45.131.211.40	155.89ms	0.00%	21.87MB/s
电信	185.193.30.189	156.15ms	0.00%	21.79MB/s
电信	185.193.31.157	155.88ms	0.00%	21.73MB/s
电信	185.193.30.161	156.25ms	0.00%	21.64MB/s
电信	170.114.45.241	155.99ms	0.00%	21.55MB/s
电信	195.85.23.98	155.99ms	0.00%	21.54MB/s
电信	45.159.216.147	155.44ms	0.00%	21.53MB/s
电信	199.181.197.111	155.17ms	0.00%	21.50MB/s
电信	94.140.0.177	155.95ms	0.00%	21.15MB/s
电信	185.162.230.40	155.84ms	0.00%	19.73MB/s
电信	45.12.30.104	155.34ms	0.00%	19.25MB/s
电信	103.160.204.30	155.41ms	0.00%	16.21MB/s
移动	104.17.167.49	35.65ms	0.00%	36.44MB/s
移动	104.17.158.126	32.13ms	0.00%	36.22MB/s
移动	104.17.176.115	34.42ms	0.00%	36.16MB/s
移动	104.17.179.219	33.08ms	0.00%	36.09MB/s
移动	104.17.164.207	35.30ms	0.00%	35.80MB/s
移动	104.17.168.168	31.63ms	0.00%	35.71MB/s
移动	104.17.165.225	31.68ms	0.00%	35.55MB/s
移动	104.17.170.99	35.75ms	0.00%	35.48MB/s
移动	104.17.169.111	35.29ms	0.00%	35.43MB/s
移动	104.19.61.208	33.03ms	0.00%	35.27MB/s
移动	104.17.181.182	34.60ms	0.00%	35.16MB/s
移动	104.17.173.66	35.36ms	0.00%	35.14MB/s
移动	104.17.163.4	35.86ms	0.00%	34.33MB/s
移动	104.17.160.216	36.83ms	0.00%	34.26MB/s
移动	104.17.159.100	33.84ms	0.00%	34.16MB/s
移动	104.17.161.101	33.69ms	0.00%	33.85MB/s
移动	104.17.172.247	32.97ms	0.00%	33.35MB/s
移动	104.17.174.77	37.22ms	0.00%	33.12MB/s
移动	104.17.162.81	37.74ms	0.00%	33.04MB/s
移动	104.17.180.65	33.09ms	0.00%	31.89MB/s
